City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Kyritz,DE,52.9421,12.397,48.85,84,100,16.15,overcast clouds
300,Salinas,US,36.6777,-121.6555,61.07,65,0,10.36,clear sky
301,Tessalit,ML,20.1986,1.0114,61.47,11,0,7.47,clear sky
302,Ca Mau,VN,9.1769,105.15,92.44,43,99,16.78,overcast clouds
303,Guatire,VE,10.4762,-66.5427,75.2,97,97,2.48,overcast clouds
304,Quatre Cocos,MU,-20.2078,57.7625,83.08,69,45,8.19,scattered clouds
305,Kavaratti,IN,10.5669,72.642,78.58,74,100,12.46,overcast clouds
306,Zhangye,CN,38.9342,100.4517,33.13,27,0,2.01,clear sky
307,Gohad,IN,26.4261,78.4447,66.94,54,74,8.48,broken clouds
308,Daye,CN,30.0833,114.95,39.99,87,100,4.03,overcast clouds
309,Alpena,US,45.0617,-83.4327,25.18,75,20,8.05,few clouds
310,Korla,CN,41.7597,86.1469,30.4,40,97,7.7,overcast clouds
311,Port-Cartier,CA,50.0334,-66.8654,25.75,96,100,8.41,light snow
312,Kenai,US,60.5544,-151.2583,19.45,76,0,18.41,clear sky
313,Saint-Augustin,CA,51.226,-58.6502,24.78,96,100,19.1,overcast clouds
314,Lesnoy,RU,57.6198,63.0784,14.13,94,94,7.78,overcast clouds
315,Leua,SK,48.2156,18.6071,44.44,89,100,7.78,overcast clouds
316,Jijiga,ET,9.35,42.8,66.6,25,37,7.2,scattered clouds
317,Qaanaaq,GL,77.484,-69.3632,-20.13,89,99,6.82,overcast clouds
318,Port-Gentil,GA,-0.7193,8.7815,76.96,94,100,3.44,thunderstorm with rain
319,Nopaltepec,MX,19.8,-98.7,52.68,71,18,2.28,few clouds
320,Hauterive,FR,46.0901,3.4459,36.36,70,22,4.72,few clouds
321,Evensk,RU,61.95,159.2333,-7.83,77,0,6.64,clear sky
322,Longyan,CN,25.1072,117.0225,54.27,96,100,0.29,overcast clouds
323,Mimoso Do Sul,BR,-21.0642,-41.3664,71.01,99,100,2.35,moderate rain
324,Nikolskoye,RU,59.7035,30.7861,33.87,96,100,6.44,overcast clouds
325,Kuloy,RU,61.0305,42.4925,16.27,98,93,3.98,overcast clouds
326,Gonen,TR,40.1049,27.654,40.01,49,96,15.32,overcast clouds
327,Simplicio Mendes,BR,-7.8539,-41.9103,76.6,71,92,1.36,overcast clouds
328,Porto Velho,BR,-8.7619,-63.9039,75.25,94,100,4.61,light intensity drizzle
329,Medina Del Campo,ES,41.3124,-4.9141,41.76,68,0,3.94,clear sky
330,Burnie,AU,-41.0667,145.9167,66.94,74,91,7.43,light rain
331,Dzhankoy,UA,45.7167,34.4,31.48,84,81,10.74,broken clouds
332,Brae,GB,60.3964,-1.353,37.31,68,56,36.55,broken clouds
333,Nokaneng,BW,-19.6667,22.2667,74.77,47,13,6.67,few clouds
334,Hami,CN,42.8,93.45,30.29,30,2,3.69,clear sky
335,Zunyi,CN,27.6867,106.9072,37.54,89,96,1.9,overcast clouds
336,Rawson,AR,-43.3002,-65.1023,62.46,72,56,11.34,broken clouds
337,Mihijam,IN,23.8526,86.8788,74.48,37,2,5.37,clear sky
338,Mehamn,NO,71.0357,27.8492,26.78,80,0,27.63,clear sky
339,Le Port,RE,-20.9373,55.2919,84.2,78,100,3.44,overcast clouds
340,Opuwo,NA,-18.0607,13.84,68.2,57,55,3.78,broken clouds
341,Makubetsu,JP,45.3714,141.8211,24.51,63,75,13.8,broken clouds
342,Koslan,RU,63.4564,48.8989,14.29,94,100,10.04,light snow
343,San Patricio,US,28.017,-97.5169,53.83,55,0,6.71,clear sky
344,Chippewa Falls,US,44.9369,-91.3929,38.34,81,100,13.8,overcast clouds
